Feature_Name,Context_Category,Description,Category_Justification,Nature,Importance_Score,CTI_Contribution
dst_pkts,Traffic Context,Number of network packets sent from destination to source.,Measures packet-level response volume from the server.,Dynamic,8.5,Direct: Differentiates interactive sessions from non-responsive probes.
src_ip_bytes,Traffic Context,IP layer bytes sent from source (includes IP header bytes).,Measures total raw IP layer bandwidth consumed by source.,Dynamic,8,Indirect: Provides exact network layer bandwidth utilization.
dst_ip_bytes,Traffic Context,IP layer bytes sent from destination (includes IP headers).,Measures total raw IP layer bandwidth consumed by destination.,Dynamic,8,Indirect: Evaluates total network bandwidth response volume.
http_request_body_len,Traffic Context,Actual length of HTTP POST/PUT request body in bytes.,Measures HTTP application payload upload size.,Dynamic,8,Direct: Detects large HTTP payload uploads and SQL injection vectors.
http_response_body_len,Traffic Context,Actual length of HTTP response body in bytes.,Measures HTTP application payload download size.,Dynamic,8,Direct: Identifies web page leakage and data exfiltration payloads.
ts,Temporal Context,Unix epoch timestamp of flow initiation.,Establishes absolute chronological time for event sequencing.,Dynamic,8.5,"Direct: Crucial for event correlation, inter-arrival gaps, and burst rates."
weird_name,Security Context,Zeek network protocol anomaly or violation identifier name.,Explicit security anomaly flag logged by network monitor.,Dynamic,9.5,Direct: Immediate indicator of malformed headers or protocol abuse.
weird_notice,Security Context,Zeek security notice level flag for protocol anomalies.,Categorizes protocol anomaly severity.,Dynamic,9,Direct: High-fidelity security alert context for SOC analysts.
weird_addl,Security Context,Additional details string associated with Zeek protocol anomaly.,Provides contextual details for protocol violations.,Dynamic,8,Indirect: Supplies additional diagnostic context for anomaly rules.
missed_bytes,Security Context,Number of bytes missed due to packet drop or loss during capture.,Measures traffic capture integrity and potential overload.,Dynamic,7,Indirect: Highlights network interface saturation during DDoS.
dns_rejected,Security Context,Boolean flag indicating whether DNS query was rejected by server.,Explicit security rejection response status.,Dynamic,8,Direct: Indicates DNS firewall block or unauthorized domain query.
ssl_established,Security Context,Flag indicating if SSL/TLS handshake successfully completed.,Validates encrypted session establishment security state.,Dynamic,8.5,Direct: Failed SSL handshakes indicate scanning or handshake attacks.
ssl_version,Security Context,"SSL/TLS protocol version used in session (e.g. TLSv1.2, TLSv1.3).",Evaluates encryption protocol strength and version security.,Dynamic,8.5,"Direct: Identifies outdated, vulnerable SSL/TLS protocol versions."
ssl_cipher,Security Context,SSL/TLS encryption cipher suite negotiated during handshake.,Evaluates cryptographic cipher strength.,Dynamic,8.5,Direct: Detects weak or deprecated cryptographic ciphers.
ssl_resumed,Security Context,Boolean flag indicating if SSL session was resumed from ticket/cache.,Tracks session cache security dynamics.,Dynamic,6.5,Indirect: Contextualizes session ticket reuse vs new handshakes.
label,Security Context,"Ground truth binary classification target (0=Normal, 1=Attack).",Primary security ground truth annotation.,Static (Target),10,Direct: Core supervised target for ML threat classification.
type,Security Context,"Ground truth multi-class attack category (e.g. ddos, backdoor, xss).",Primary attack category ground truth annotation.,Static (Target),10,Direct: Core target for multi-class threat taxonomy modeling.
dns_query,Behavioral Context,Requested DNS domain name string.,Reflects domain lookup behavior and host resolution intent.,Dynamic,8.5,"Direct: Detects DGA domains, C2 servers, and phishing destinations."
dns_qclass,Behavioral Context,DNS query class (e.g. 1=IN Internet).,Specifies DNS protocol query class semantics.,Dynamic,6,Indirect: Verifies standard DNS query class conventions.
dns_qtype,Behavioral Context,"DNS query type (e.g. 1=A, 28=AAAA, 15=MX, 16=TXT).",Determines record type requested during DNS resolution.,Dynamic,7,Direct: Detects DNS tunneling via unusual TXT/NULL record queries.
dns_rcode,Behavioral Context,"DNS response code (e.g. 0=NOERROR, 3=NXDOMAIN).",Reflects server resolution outcome and domain validity.,Dynamic,8,Direct: High NXDOMAIN rates indicate active DGA malware activity.
dns_AA,Behavioral Context,DNS Authoritative Answer boolean flag.,Indicates if response originated from authoritative server.,Dynamic,6.5,Indirect: Helps detect DNS spoofing and cache poisoning.
dns_RD,Behavioral Context,DNS Recursion Desired boolean flag.,Reflects client query recursion preference.,Dynamic,6.5,Indirect: Contextualizes recursive DNS resolver behavior.
dns_RA,Behavioral Context,DNS Recursion Available boolean flag.,Reflects server recursion capability.,Dynamic,6.5,Indirect: Evaluates recursive DNS amplification exposure.
http_trans_depth,Behavioral Context,Pipelined HTTP transaction depth counter.,Tracks HTTP pipelined request interaction depth.,Dynamic,7,Indirect: Detects HTTP session pipelining & abuse patterns.
http_method,Behavioral Context,"HTTP request method verb (e.g. GET, POST, HEAD, PUT).",Defines client request action intent.,Dynamic,9,Direct: Critical for identifying web attack methods (POST vs GET).
http_uri,Behavioral Context,HTTP request URI path and query parameters.,Contains full web request path and parameter payload.,Dynamic,9.5,"Direct: Primary feature for detecting SQL Injection, XSS, and path traversal."
http_version,Behavioral Context,"HTTP protocol version (e.g. 1.1, 1.0).",Specifies HTTP protocol version semantics.,Dynamic,6.5,Indirect: Detects anomalous or ancient HTTP protocol stacks.
http_status_code,Behavioral Context,"HTTP response status code (e.g. 200, 404, 500, 403).",Reflects web application execution outcome.,Dynamic,8.5,Direct: High 404 rates signal directory scanning; 500 signals exploit success.
http_orig_mime_types,Behavioral Context,Client request MIME content type string.,Specifies uploaded payload MIME type.,Dynamic,7.5,"Direct: Identifies malicious file uploads (e.g., shell scripts)."
http_resp_mime_types,Behavioral Context,Server response MIME content type string.,Specifies downloaded response MIME type.,Dynamic,7.5,Direct: Identifies returned payload types (executable vs HTML).
http_user_agent,Environmental Context,HTTP User-Agent string identifying client application/environment.,"Identifies client operating system, browser, or automated script agent.",Static (per client),8.5,"Direct: Key feature for identifying automated vulnerability scanners (Nikto, Nmap, Sqlmap)."
