Dataset_Name,Category,File_Path,File_Size_MB,Feature_Count,Target_Columns,Purpose,CIE_Context_Contribution,CIE_Recommendation,Sample_Features_and_Types
Network_dataset_1.csv,Processed_Network_dataset,Processed_Network_dataset\Network_dataset_1.csv,139.93,46,"label, type","Captures Bro/Zeek network connection flows, transport layers, application protocols, and security flags.","Provides Network, Traffic, Security, & Behavioral Context (inter-device traffic topology, flow volume, payload stats, anomaly flags).",PRIMARY RECOMMENDATION (Full Context Spectrum),"ts: int64, src_ip: str, src_port: int64, dst_ip: str, dst_port: int64, proto: str, ... (+40 more)"
Network_dataset_10.csv,Processed_Network_dataset,Processed_Network_dataset\Network_dataset_10.csv,139.75,46,"label, type","Captures Bro/Zeek network connection flows, transport layers, application protocols, and security flags.","Provides Network, Traffic, Security, & Behavioral Context (inter-device traffic topology, flow volume, payload stats, anomaly flags).",PRIMARY RECOMMENDATION (Full Context Spectrum),"ts: int64, src_ip: str, src_port: int64, dst_ip: str, dst_port: int64, proto: str, ... (+40 more)"
Network_dataset_11.csv,Processed_Network_dataset,Processed_Network_dataset\Network_dataset_11.csv,141.55,46,"label, type","Captures Bro/Zeek network connection flows, transport layers, application protocols, and security flags.","Provides Network, Traffic, Security, & Behavioral Context (inter-device traffic topology, flow volume, payload stats, anomaly flags).",PRIMARY RECOMMENDATION (Full Context Spectrum),"ts: int64, src_ip: str, src_port: int64, dst_ip: str, dst_port: int64, proto: str, ... (+40 more)"
Network_dataset_12.csv,Processed_Network_dataset,Processed_Network_dataset\Network_dataset_12.csv,146.51,46,"label, type","Captures Bro/Zeek network connection flows, transport layers, application protocols, and security flags.","Provides Network, Traffic, Security, & Behavioral Context (inter-device traffic topology, flow volume, payload stats, anomaly flags).",PRIMARY RECOMMENDATION (Full Context Spectrum),"ts: int64, src_ip: str, src_port: int64, dst_ip: str, dst_port: int64, proto: str, ... (+40 more)"
Network_dataset_13.csv,Processed_Network_dataset,Processed_Network_dataset\Network_dataset_13.csv,144.02,46,"label, type","Captures Bro/Zeek network connection flows, transport layers, application protocols, and security flags.","Provides Network, Traffic, Security, & Behavioral Context (inter-device traffic topology, flow volume, payload stats, anomaly flags).",PRIMARY RECOMMENDATION (Full Context Spectrum),"ts: int64, src_ip: str, src_port: int64, dst_ip: str, dst_port: int64, proto: str, ... (+40 more)"
Network_dataset_14.csv,Processed_Network_dataset,Processed_Network_dataset\Network_dataset_14.csv,146.23,46,"label, type","Captures Bro/Zeek network connection flows, transport layers, application protocols, and security flags.","Provides Network, Traffic, Security, & Behavioral Context (inter-device traffic topology, flow volume, payload stats, anomaly flags).",PRIMARY RECOMMENDATION (Full Context Spectrum),"ts: int64, src_ip: str, src_port: int64, dst_ip: str, dst_port: int64, proto: str, ... (+40 more)"
Network_dataset_15.csv,Processed_Network_dataset,Processed_Network_dataset\Network_dataset_15.csv,146.1,46,"label, type","Captures Bro/Zeek network connection flows, transport layers, application protocols, and security flags.","Provides Network, Traffic, Security, & Behavioral Context (inter-device traffic topology, flow volume, payload stats, anomaly flags).",PRIMARY RECOMMENDATION (Full Context Spectrum),"ts: int64, src_ip: str, src_port: int64, dst_ip: str, dst_port: int64, proto: str, ... (+40 more)"
Network_dataset_16.csv,Processed_Network_dataset,Processed_Network_dataset\Network_dataset_16.csv,145.93,46,"label, type","Captures Bro/Zeek network connection flows, transport layers, application protocols, and security flags.","Provides Network, Traffic, Security, & Behavioral Context (inter-device traffic topology, flow volume, payload stats, anomaly flags).",PRIMARY RECOMMENDATION (Full Context Spectrum),"ts: int64, src_ip: str, src_port: int64, dst_ip: str, dst_port: int64, proto: str, ... (+40 more)"
Network_dataset_17.csv,Processed_Network_dataset,Processed_Network_dataset\Network_dataset_17.csv,142.92,46,"label, type","Captures Bro/Zeek network connection flows, transport layers, application protocols, and security flags.","Provides Network, Traffic, Security, & Behavioral Context (inter-device traffic topology, flow volume, payload stats, anomaly flags).",PRIMARY RECOMMENDATION (Full Context Spectrum),"ts: int64, src_ip: str, src_port: int64, dst_ip: str, dst_port: int64, proto: str, ... (+40 more)"
Network_dataset_18.csv,Processed_Network_dataset,Processed_Network_dataset\Network_dataset_18.csv,143.82,46,"label, type","Captures Bro/Zeek network connection flows, transport layers, application protocols, and security flags.","Provides Network, Traffic, Security, & Behavioral Context (inter-device traffic topology, flow volume, payload stats, anomaly flags).",PRIMARY RECOMMENDATION (Full Context Spectrum),"ts: int64, src_ip: str, src_port: int64, dst_ip: str, dst_port: int64, proto: str, ... (+40 more)"
Network_dataset_19.csv,Processed_Network_dataset,Processed_Network_dataset\Network_dataset_19.csv,149.69,46,"label, type","Captures Bro/Zeek network connection flows, transport layers, application protocols, and security flags.","Provides Network, Traffic, Security, & Behavioral Context (inter-device traffic topology, flow volume, payload stats, anomaly flags).",PRIMARY RECOMMENDATION (Full Context Spectrum),"ts: int64, src_ip: str, src_port: int64, dst_ip: str, dst_port: int64, proto: str, ... (+40 more)"
Network_dataset_2.csv,Processed_Network_dataset,Processed_Network_dataset\Network_dataset_2.csv,138.76,46,"label, type","Captures Bro/Zeek network connection flows, transport layers, application protocols, and security flags.","Provides Network, Traffic, Security, & Behavioral Context (inter-device traffic topology, flow volume, payload stats, anomaly flags).",PRIMARY RECOMMENDATION (Full Context Spectrum),"ts: int64, src_ip: str, src_port: int64, dst_ip: str, dst_port: int64, proto: str, ... (+40 more)"
Network_dataset_20.csv,Processed_Network_dataset,Processed_Network_dataset\Network_dataset_20.csv,150.31,46,"label, type","Captures Bro/Zeek network connection flows, transport layers, application protocols, and security flags.","Provides Network, Traffic, Security, & Behavioral Context (inter-device traffic topology, flow volume, payload stats, anomaly flags).",PRIMARY RECOMMENDATION (Full Context Spectrum),"ts: int64, src_ip: str, src_port: int64, dst_ip: str, dst_port: int64, proto: str, ... (+40 more)"
Network_dataset_21.csv,Processed_Network_dataset,Processed_Network_dataset\Network_dataset_21.csv,151.33,46,"label, type","Captures Bro/Zeek network connection flows, transport layers, application protocols, and security flags.","Provides Network, Traffic, Security, & Behavioral Context (inter-device traffic topology, flow volume, payload stats, anomaly flags).",PRIMARY RECOMMENDATION (Full Context Spectrum),"ts: int64, src_ip: str, src_port: int64, dst_ip: str, dst_port: int64, proto: str, ... (+40 more)"
Network_dataset_22.csv,Processed_Network_dataset,Processed_Network_dataset\Network_dataset_22.csv,146.17,46,"label, type","Captures Bro/Zeek network connection flows, transport layers, application protocols, and security flags.","Provides Network, Traffic, Security, & Behavioral Context (inter-device traffic topology, flow volume, payload stats, anomaly flags).",PRIMARY RECOMMENDATION (Full Context Spectrum),"ts: int64, src_ip: str, src_port: int64, dst_ip: str, dst_port: int64, proto: str, ... (+40 more)"
Network_dataset_23.csv,Processed_Network_dataset,Processed_Network_dataset\Network_dataset_23.csv,49.31,46,"label, type","Captures Bro/Zeek network connection flows, transport layers, application protocols, and security flags.","Provides Network, Traffic, Security, & Behavioral Context (inter-device traffic topology, flow volume, payload stats, anomaly flags).",PRIMARY RECOMMENDATION (Full Context Spectrum),"ts: int64, src_ip: str, src_port: int64, dst_ip: str, dst_port: int64, proto: str, ... (+40 more)"
Network_dataset_3.csv,Processed_Network_dataset,Processed_Network_dataset\Network_dataset_3.csv,138.87,46,"label, type","Captures Bro/Zeek network connection flows, transport layers, application protocols, and security flags.","Provides Network, Traffic, Security, & Behavioral Context (inter-device traffic topology, flow volume, payload stats, anomaly flags).",PRIMARY RECOMMENDATION (Full Context Spectrum),"ts: int64, src_ip: str, src_port: int64, dst_ip: str, dst_port: int64, proto: str, ... (+40 more)"
Network_dataset_4.csv,Processed_Network_dataset,Processed_Network_dataset\Network_dataset_4.csv,138.49,46,"label, type","Captures Bro/Zeek network connection flows, transport layers, application protocols, and security flags.","Provides Network, Traffic, Security, & Behavioral Context (inter-device traffic topology, flow volume, payload stats, anomaly flags).",PRIMARY RECOMMENDATION (Full Context Spectrum),"ts: int64, src_ip: str, src_port: int64, dst_ip: str, dst_port: int64, proto: str, ... (+40 more)"
Network_dataset_5.csv,Processed_Network_dataset,Processed_Network_dataset\Network_dataset_5.csv,138.5,46,"label, type","Captures Bro/Zeek network connection flows, transport layers, application protocols, and security flags.","Provides Network, Traffic, Security, & Behavioral Context (inter-device traffic topology, flow volume, payload stats, anomaly flags).",PRIMARY RECOMMENDATION (Full Context Spectrum),"ts: int64, src_ip: str, src_port: int64, dst_ip: str, dst_port: int64, proto: str, ... (+40 more)"
Network_dataset_6.csv,Processed_Network_dataset,Processed_Network_dataset\Network_dataset_6.csv,158.13,47,"label, type","Captures Bro/Zeek network connection flows, transport layers, application protocols, and security flags.","Provides Network, Traffic, Security, & Behavioral Context (inter-device traffic topology, flow volume, payload stats, anomaly flags).",PRIMARY RECOMMENDATION (Full Context Spectrum),"ts: int64, uid: str, src_ip: str, src_port: int64, dst_ip: str, dst_port: int64, ... (+41 more)"
Network_dataset_7.csv,Processed_Network_dataset,Processed_Network_dataset\Network_dataset_7.csv,140.36,46,"label, type","Captures Bro/Zeek network connection flows, transport layers, application protocols, and security flags.","Provides Network, Traffic, Security, & Behavioral Context (inter-device traffic topology, flow volume, payload stats, anomaly flags).",PRIMARY RECOMMENDATION (Full Context Spectrum),"ts: int64, src_ip: str, src_port: int64, dst_ip: str, dst_port: int64, proto: str, ... (+40 more)"
Network_dataset_8.csv,Processed_Network_dataset,Processed_Network_dataset\Network_dataset_8.csv,139.85,46,"label, type","Captures Bro/Zeek network connection flows, transport layers, application protocols, and security flags.","Provides Network, Traffic, Security, & Behavioral Context (inter-device traffic topology, flow volume, payload stats, anomaly flags).",PRIMARY RECOMMENDATION (Full Context Spectrum),"ts: int64, src_ip: str, src_port: int64, dst_ip: str, dst_port: int64, proto: str, ... (+40 more)"
Network_dataset_9.csv,Processed_Network_dataset,Processed_Network_dataset\Network_dataset_9.csv,139.72,46,"label, type","Captures Bro/Zeek network connection flows, transport layers, application protocols, and security flags.","Provides Network, Traffic, Security, & Behavioral Context (inter-device traffic topology, flow volume, payload stats, anomaly flags).",PRIMARY RECOMMENDATION (Full Context Spectrum),"ts: int64, src_ip: str, src_port: int64, dst_ip: str, dst_port: int64, proto: str, ... (+40 more)"
windows10_dataset.csv,Processed_Windows_dataset,Processed_Windows_dataset\windows10_dataset.csv,35.53,127,"label, type",Captures enterprise Windows OS performance counter telemetry (windows10).,"Provides Host & Resource Context (CPU utilization, kernel DPC rates, handle counts, page table allocations).",Secondary (Host-level context),"ts: int64, Processor_DPC_Rate: int64, Processor_pct_ Idle_Time: float64, Processor_pct_ C3_Time: int64, Processor_pct_ Interrupt_Time: float64, Processor_pct_ C2_Time: int64, ... (+121 more)"
windows7_dataset.csv,Processed_Windows_dataset,Processed_Windows_dataset\windows7_dataset.csv,23.95,135,"label, type",Captures enterprise Windows OS performance counter telemetry (windows7).,"Provides Host & Resource Context (CPU utilization, kernel DPC rates, handle counts, page table allocations).",Secondary (Host-level context),"ts: int64, Processor(_Total) DPC Rate: int64, Processor(_Total) pct_ Idle Time: float64, Processor(_Total) pct_ C3 Time: int64, Processor(_Total) pct_ Interrupt Time: float64, Processor(_Total) pct_ C2 Time: int64, ... (+129 more)"
